question,answer,options,type
'作为改革开放的一个标志性事件，1978年5月11日，《光明日报》刊登题为_____的特约评论员文章。','C《实践是检验真理的唯一标准》',,
'遵义会议于_____年1月召开。','1935年','A:1934年 B:1935年 C:1936年 D:1937年',
'自2016年起，原中电海康集团研究院车联网团队以工信部和浙江省的省部合作项目——“5G车联网示范试点工程一期项目”为契机，发展以“智慧道路”+“车路协同”的方向，展开产品研发攻关。','错误','A:正确 B:错误 ',
'自2002年，浙江海康集团有限公司成立，五十二所就开始考虑并推动全所的体制机制改革工作，主要从以下几个方面采取措施。','A:坚持“有进有退，有所为有所不为”的方针 B:以市场需求为导向 C:积极构建技术创新体系','A:坚持“有进有退，有所为有所不为”的方针 B:以市场需求为导向 C:积极构建技术创新体系 D:坚定伟大信念','多选题'
'自2002年，_____成立，五十二所就开始考虑并推动全所的体制机制改革工作。','浙江海康集团有限公司','A:浙江海康集团有限公司 B:浙江海康慧联科技有限公司 C:杭州海康威视数字技术股份有限公司 D:杭州意博高科电器有限公司','单选题'
'中央民族工作会议2021年8月27日至28日在北京召开。习近平出席会议并发表重要讲话指出，_____，是做好新时代党的民族工作的根本政治保证。','加强和完善党的全面领导','A:加强和完善党的全面领导 B:坚持和完善人民当家作主制度体系 C:坚持和完善中国特色社会主义法治体系 D:坚持和完善民族区域自治制度',
'中央民族工作会议2021年8月27日至28日在北京召开。习近平出席会议并发表重要讲话强调，做好新时代党的民族工作，要把_____作为党的民族工作的主线。','铸牢中华民族共同体意识','A:坚持和完善民族区域自治制度 B:铸牢中华民族共同体意识 C:提升民族事务治理体系和治理能力现代化水平 D:推动各民族共同走向社会主义现代化',
'中苏两国关系、中共与苏共两党关系实现正常化的标志是，1989年5月，苏共中央总书记戈尔巴乔夫对中国进行正式访问。','正确','A:正确 B:错误 ','判断题'
'中美关系正常化开始的标志是_____。','尼克松访问中国，然后，中美《联合公报》发表','A:美国乒乓球代表团访问中国 B:尼克松访问中国 C:中美《联合公报》发表 D:中国乒乓球队访问美国','单选题'
'中华人民共和国第一部宪法诞生于_____年。','1954年',,
'中华人民共和国的成立和社会主义制度的建立，是20世纪中国人民在前进道路上的第一次历史性巨变。','错误，是辛亥革命','A:正确 B:错误 ','判断题'
'中华人民共和国的成立标志着中国进入_____。','新民主主义社会','A:社会主义社会 B:共产主义社会 C:新民主主义社会 D:资本主义社会','单选题'
'中华人民共和国的成立，标志着中国进入了由新民主主义向社会主义过渡的新时期。','正确','A:正确 B:错误 ',
'中华人民共和国成立后制定的第一部正式法律是_____。','《中华人民共和国婚姻法》 ','A:《中国土地法大纲》 B:《土地法》 C:《中华人民共和国婚姻法》 D:《中国人民共和国土地改革法》','单选题'
'中华民族同帝国主义国家之间的矛盾、中国人民同本国封建主义之间的矛盾，构成近代中国社会的两大主要矛盾。','企业强国 ',,
'中华民族是英雄辈出的民族，新时代是成就英雄的时代。全党全社会要崇尚英雄、学习英雄、关爱英雄，大力弘扬英雄精神，汇聚实现中华民族伟大复兴的磅礴力量。','正确','A:正确 B:错误 ','判断题'
'中国无产阶级作为独立的政治力量第一次登上历史舞台是在五四运动。','正确','A:正确 B:错误 ','判断题'
'中国特色社会主义新时代我国社会的主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。','正确','A:正确 B:错误 ','判断题'
'中国特色社会主义事业总体布局是_____。','“五位一体”','A:“四个自信” B:两步走战略 C:“四个全面” D:“五位一体”','单选题'
'中国十九大报告指出，必须坚定不移走中国特色社会主义法治道路，完善以_____为核心的中国特色社会主义法律体系。。','宪法',,
'中国社会主义青年团旅欧支部——旅欧中国少年共产党是在旅欧共产主义小组领导下，于1922年6月3日在法国巴黎正式成立的，首任书记是____。','赵世炎','A:周恩来 B:李维汉　 C:张申府 D:赵世炎','单选题'
'中国社会主义青年团旅欧支部，于1922.6.3在法国巴黎正式成立，首任书记是_____。','赵世炎',,
'中国社会主义青年团第一任中央执行委员会书记是_____。','施存统',,
'中国人民抗日战争胜利是以爱国主义为核心的民族精神的伟大胜利，是中国共产党发挥_____作用的伟大胜利，是全民族众志成城奋勇抗战的伟大胜利，是中国人民同反法西斯同盟国以及各国人民并肩战斗的伟大胜利。','中流砥柱','A:领导核心 B:中流砥柱 C:凝心聚力 D:鼓舞人心',
'中国人民和中华民族从斗争实践中懂得，中国社会发展，中华民族振兴，中国人民幸福，必须依靠自己的_____来实现，没有人会恩赐给我们一个光明的中国。','英勇奋斗 ','A:英勇奋斗 B:努力奋斗 C:奋力拼搏 D:积极进取','单选题'
'中国人民从长期奋斗历程中得到的最基本最重要的结论是_____。','没有共产党，就没有新中国','A:必须把马克思主义基本原理同中国实际相结合 B:任何时候都必须坚持实事求是的思想路线 C:没有毛泽东，就没有新民主主义革命的胜利 D:没有共产党，就没有新中国','单选题'
'中国人民从不屈服，不断奋起抗争，终于掌握了自己的命运，开始了建设自己国家的伟大进程，充分展示了以爱国主义为核心的伟大民族精神。','正确','A:正确 B:错误 ','判断题'
'中国青年运动的时代主题是_____ 。','为实现中华民族伟大复兴的中国梦而奋斗','A:用社会主义核心价值体系引导青年 B:为实现中华民族伟大复兴的中国梦而奋斗 C:竭诚帮助服务青年成长发展 D:在全面建成小康社会进程中充分发挥生力军作用','单选题'
'中国抗日战争胜利纪念日是_____。','9月3日','A:9月2日 B:8月15日 C:9月4日 D:9月3日','单选题'
'中国抗日战争的起点和中国人民局部抗战开始的标志是______。','九一八事变','A:九一八事变 B:华北事变 C:一二九运动 D:七七事变','单选题'
'中国开放的大门不会关闭。要以“一带一路”建设为重点，坚持引进来和走出去并重，遵循_____原则，加强创新能力开放合作。','共商共建共享','A:共商共建共享 B:磋商互通有无 C:共商共建共管 D:互惠互利共赢','单选题'
'中国进入社会主义社会的主要标志是_____。','社会主义三大改造的基本完成',,
'中国将继续坚持以_____为中心，致力于建设改革发展成果真正惠及人民，经济、政治、文化、社会、生态文明全面发展的小康社会。','经济建设','A:经济建设 B:稳定发展 C:社会和谐 D:改革创新','单选题'
'中国国民党第一次全国代表大会通过的《中国国民党第一次全国代表大会宣言》和《中国国民党章程》草案是第一次国共合作的政治基础。','错误，是新三民主义','A:正确 B:错误 ','判断题'
'中国共产主义青年团团旗是团的性质和任务的象征。是毛泽东、周恩来等同志亲自审定，并经党中央批准，于 _____年 5 月 4 日由团中央委员会公布的。','1950','A:1949 B:1950 C:1951 D:1952','单选题'
'中国共产党自1921年成立以来，始终把为中国人民_____、为中华民族_____作为自己的初心使命。','谋幸福，谋复兴','A:谋解放，谋独立 B:谋解放，谋复兴 C:谋幸福，谋复兴 D:谋幸福，谋富强',
'中国共产党在中国革命中战胜敌人的三大法宝是_____、_____、_____。','统一战线 武装斗争 党的建设','A:统一战线 B:宣传教育 C:武装斗争 D:党的建设',
'中国共产党在新民主主义革命时期召开的最后的、也是最重要的一次代表大会是_____ 。','中共七大','A:六届六中全会 B:中共六大 C:中共七大 D:七届二中全会','单选题'
'中国共产党在农村开展土地革命使农村革命根据地发生了哪些便变化？','A:阶级关系发生剧烈变动，被压迫的贫苦农民在政治上翻了身，成为农村的主人 B:广大无地少地的农民分得土地后，生产积极性极为高涨，促进了农业生产的发展 C:随着农业生产的发展和苛捐杂税的废除，农民生活很快得到改善 D:广大农民在政治上、经济上的翻身，极大地激发了革命的积极性','A:阶级关系发生剧烈变动，被压迫的贫苦农民在政治上翻了身，成为农村的主人 B:广大无地少地的农民分得土地后，生产积极性极为高涨，促进了农业生产的发展 C:随着农业生产的发展和苛捐杂税的废除，农民生活很快得到改善 D:广大农民在政治上、经济上的翻身，极大地激发了革命的积极性','多选题'
'中国共产党在抗日民族统一战线中的策略方针是：发展进步势力、争取中间势力、孤立顽固势力','正确','A:正确 B:错误 ','判断题'
'中国共产党在《八一宣言》中提出了“反对华北自治，一致抗日”的口号','错误','A:正确 B:错误 ',
'中国共产党要领导全国各族人民实现社会主义现代化的宏伟“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦，就要坚持立党为公、执政为民，不断提高党的领导水平和执政水平，提高拒腐防变和抵御风险的能力，不断增强______的能力。','A:自我净化 B:自我完善 C:自我革新 D:自我提高','A:自我净化 B:自我完善 C:自我革新 D:自我提高','多选题'
'中国共产党人的初心和使命，就是为中国人民谋幸福，为中华民族谋发展。','错误，是为中华民族谋复兴','A:正确 B:错误 ','判断题'
'中国共产党人的初心和使命，就是为中国人民______，为中华民族______。这个初心和使命是激励中国共产党人不断前进的根本动力。','谋幸福，谋复兴','A:谋幸福，谋未来 B:谋生活，谋复兴 C:谋幸福，谋复兴 D:谋生活，谋未来','单选题'
